[2025-11-06T00:00:43.570Z] [ERROR] Failed to clean old archives | {"error":{"message":"Maximum call stack size exceeded","stack":"RangeError: Maximum call stack size exceeded\n    at Array.forEach (<anonymous>)\n    at LogFileManager.cleanOldArchives (/app/dist/utils/logFileManager.js:152:19)\n    at LogFileManager.rotateIfNeeded (/app/dist/utils/logFileManager.js:111:18)\n    at LogFileManager.writeLog (/app/dist/utils/logFileManager.js:118:14)\n    at Logger.writeToLogFile (/app/dist/utils/logger.js:54:34)\n    at Logger.info (/app/dist/utils/logger.js:93:18)\n    at LogFileManager.rotateIfNeeded (/app/dist/utils/logFileManager.js:100:29)\n    at LogFileManager.writeLog (/app/dist/utils/logFileManager.js:118:14)\n    at Logger.writeToLogFile (/app/dist/utils/logger.js:54:34)\n    at Logger.info (/app/dist/utils/logger.js:93:18)"}}
[2025-11-06T00:01:13.494Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:14.120Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:14.702Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:14.546Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:15.146Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:15.446Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:15.670Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:15.685Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:16.131Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:15.699Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:16.411Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:16.423Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:16.574Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:16.582Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:17.142Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:17.430Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:18.041Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:17.827Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:18.075Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:18.108Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:18.220Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:18.235Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:18.570Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:18.945Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:19.501Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:19.998Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:21.123Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:21.847Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:22.468Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:22.788Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:23.107Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:23.117Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:23.321Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:23.435Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:23.796Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:24.246Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:24.252Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:24.261Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:24.270Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:24.277Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:24.290Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:24.310Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:24.318Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:24.327Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:24.532Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:24.709Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:24.721Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:24.755Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:25.055Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:24.768Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:25.521Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:25.701Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:25.708Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:25.720Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:25.745Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:25.761Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:26.144Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:26.480Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:26.842Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:26.849Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:26.860Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:26.870Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:27.114Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:27.141Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:27.430Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:27.423Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:27.446Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:27.439Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:27.455Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:27.529Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:27.827Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:27.930Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:27.939Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:27.979Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:28.000Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:28.192Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:28.263Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:28.273Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:28.291Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:28.285Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:28.366Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:28.386Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:28.396Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:28.518Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:28.936Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:29.291Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:29.311Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:29.434Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:29.444Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:29.451Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:29.477Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:29.464Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:29.497Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:29.484Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:29.521Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:29.513Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:29.544Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:29.777Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:30.524Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:29.914Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
[2025-11-06T00:01:31.180Z] [INFO] Rotating log file | {"oldDate":"2025-11-05","newDate":"2025-11-06"}
